Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,..,36.2890774127896,37.06956357719,54.5054272070161,..
Afghanistan,AFG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,..,..,-21.2561469298972,36.7070623063138,..
Afghanistan,AFG,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,..,..,..,..,..
Afghanistan,AFG,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,59978560.9220507,613785246.006195,..,..,..
Afghanistan,AFG,Net foreign assets (current LCU),FM.AST.NFRG.CN,790413851829.57,871656191935.557,..,..,..
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,497.741431256813,512.055098005672,355.777826392648,352.603733092107,..
Afghanistan,AFG,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,..,..,..,..,..
Afghanistan,AFG,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,..,..,..,..,..
Afghanistan,AFG,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,324,..,..,..,..
Afghanistan,AFG,"Time to import, border compliance (hours)",IC.IMP.TMBC,96,..,..,..,..
Albania,ALB,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,44.9749247621036,37.1719398177669,44.7088213484193,47.7542583145142,44.9148946762443
Albania,ALB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2.2896416775674,-19.789390871026,31.4513010986336,13.1333751266465,1.33077920522959
Albania,ALB,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,6153498070.1579,4935758284.81331,6488118484.4707,7340227423.69753,7437909643.86865
Albania,ALB,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-1018802164.17964,-960514475.344888,-738256754.050508,-946255075.780173,-84407545.5492342
Albania,ALB,Net foreign assets (current LCU),FM.AST.NFRG.CN,691446538021.481,746995285850.37,886437967572.446,850603491476.877,947969031057.584
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.08771199649604,-3.30208203862541,8.90852781831182,4.85640165227306,3.43914949919611
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,5396.2142432843,5343.0377039956,6377.20309553753,6810.11404104233,8367.77573143421
Albania,ALB,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,1.47,1.45,1.61,..,..
Albania,ALB,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,3.7,3.7,3.71,..,..
Albania,ALB,"Time to import, documentary compliance (hours)",IC.IMP.TMDC,8,..,..,..,..
Albania,ALB,"Time to import, border compliance (hours)",IC.IMP.TMBC,10,..,..,..,..
Algeria,DZA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,26.0989006586763,24.8545554509197,23.3883951900933,20.3943509800654,21.0283730527596
Algeria,DZA,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,-7.10000000000004,-16,-4.5,-0.200000000000003,19.4000000000001
Algeria,DZA,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,49131580435.0109,41270527565.4092,39413353824.9658,39334527117.3158,46965425378.0751
Algeria,DZA,"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD,-17032982268.1638,-18906416513.5753,-4701342558.27479,19407402354.1984,4978367688.9921
Algeria,DZA,Net foreign assets (current LCU),FM.AST.NFRG.CN,7428696506192.52,6321299615983.46,5993967399655.94,8119486863303.65,8904967882115.45
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.89999999991042,-5,3.8,3.60000000017391,4.10000000000679
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4530.10174483631,3794.40952448639,4216.2512851303,5023.25293164928,5260.20624980797
